Film,Distributor,Modern,Rank,Money1,Money2,Money3,Year,x,y,isDisney,url
Butch Cassidy and the Sundance Kid,20th Century-Fox,Walt Disney Studios,40,"$645,487,188 ","$102,308,889 ",70557900,1969,20,21,Yes,https://image.tmdb.org/t/p/w500/gFmmykF1Ym3OGzENo50nZQaD1dx.jpg
Love Story,Paramount Pictures,Paramount Pictures,41,"$640,515,984 ","$106,550,690 ",70014500,1970,2,18,No,https://image.tmdb.org/t/p/w500/yCjADq9fwbdPnxMo0DKNeRGZ4YC.jpg
Independence Day,20th Century Fox,Walt Disney Studios,42,"$633,694,987 ","$306,169,268 ",69268900,1996,4,18,Yes,https://image.tmdb.org/t/p/w500/p0BPQGSPoSa8Ml0DAf2mB2kCU0R.jpg
Top Gun: Maverick,Paramount Pictures,Paramount Pictures,43,NA,NA,NA,2022,6,18,No,https://image.tmdb.org/t/p/w500/62HCnUTziyWcpDaBO2i1DX17ljH.jpg
Home Alone,20th Century Fox,Walt Disney Studios,44,"$619,655,040 ","$285,761,243 ",67734200,1990,8,18,Yes,https://image.tmdb.org/t/p/w500/uuitWHpJwxD1wruFl2nZHIb4UGN.jpg
Star Wars: Episode VIII - The Last Jedi,Walt Disney Studios,Walt Disney Studios,45,"$618,377,017 ","$620,181,382 ",67594500,2017,10,18,Yes,https://image.tmdb.org/t/p/w500/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg
Pinocchio,Walt Disney Studios,Walt Disney Studios,46,"$616,627,856 ","$84,254,167 ",67403300,1940,12,18,Yes,https://image.tmdb.org/t/p/w500/bnZJrLRnoQHpzEJdka1KYfsAF3N.jpg
Cleopatra,20th Century Fox,Walt Disney Studios,47,"$614,617,052 ","$57,777,778 ",67183500,1963,14,18,Yes,https://image.tmdb.org/t/p/w500/bj7rUGUewofA9cpHt1h36gvDFfy.jpg
Beverly Hills Cop,Paramount Pictures,Paramount Pictures,48,"$614,310,583 ","$234,760,478 ",67150000,1984,16,18,No,https://image.tmdb.org/t/p/w500/eBJEvKkhQ0tUt1dBAcTEYW6kCle.jpg
Goldfinger,United Artists,Amazon MGM Studios,49,"$606,534,500 ","$51,081,062 ",66300000,1964,18,18,No,https://image.tmdb.org/t/p/w500/6fTzum7gSpLWww26WvWjETNqfD9.jpg
Incredibles 2,Walt Disney Studios,Walt Disney Studios,50,"$606,527,181 ","$608,581,744 ",66299200,2018,20,18,Yes,https://image.tmdb.org/t/p/w500/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg
